PROJECTNAME,PROJECTPHASE,PROJECTCATEGORY,REGION,COUNTY,SUBCOUNTY,CONSTITUENCY,WARD,SITECOORDINATES,SITECODE,SITENAME,SITECATEGORY,CONNECTEDOFFICES,UPLINKSITE,CONNECTIONSTATUS,@
NOFBI,,,North Rift,Baringo,Baringo Central,,,,,CC-Baringo Central,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Baringo Central,,,,,Governor-Baringo Central,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Baringo Central,,,,,KNA-Baringo Central,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Baringo Central,,,,,Assembly-Baringo Central,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Mogotio,,,,,MOGOTIO DCC,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Baringo North,,,,,BARINGO NORTH (KABARTONJO) DCC,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Koibatek,,,,,Koibatek (Eldama Ravine) DCC,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Baringo Central,,,,,KABARNET AFC Finance,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Koibatek,,,,,Eldama Ravine CRD,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Baringo Central,,,,,AFC-Baringo,Government Institution,,,,
NOFBI,,,North Rift,Baringo,Koibatek,,,,,Eldama Ravine hospital,Health facility,,,,
NOFBI,,,North Rift,Baringo,Baringo Central,,,,,Baringo Sub county Hospital,Health facility,,,,
NOFBI,,,South Rift,Baringo,Baringo Central,,,,,CC Baringo,Government Institution,,,,
