PROJECTNAME,PROJECTPHASE,PROJECTCATEGORY,REGION,COUNTY,SUBCOUNTY,CONSTITUENCY,WARD,SITECOORDINATES,SITECODE,SITENAME,SITECATEGORY,CONNECTEDOFFICES,UPLINKSITE,CONNECTIONSTATUS,@,STATUS
NOFBI,,,North Rift,Baringo,Baringo Central,Not Found,Not Found,,,CC-Baringo Central,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Baringo Central,Not Found,Not Found,,,Governor-Baringo Central,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Baringo Central,Not Found,Not Found,,,KNA-Baringo Central,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Baringo Central,Not Found,Not Found,,,Assembly-Baringo Central,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Mogotio,Not Found,Not Found,,,MOGOTIO DCC,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Baringo North,Not Found,Not Found,,,BARINGO NORTH (KABARTONJO) DCC,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Koibatek,Not Found,Not Found,,,Koibatek (Eldama Ravine) DCC,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Baringo Central,Not Found,Not Found,,,KABARNET AFC Finance,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Koibatek,Not Found,Not Found,,,Eldama Ravine CRD,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Baringo Central,Not Found,Not Found,,,AFC-Baringo,Government Institution,,,,,Updated
NOFBI,,,North Rift,Baringo,Koibatek,Not Found,Not Found,,,Eldama Ravine hospital,Health facility,,,,,Updated
NOFBI,,,North Rift,Baringo,Baringo Central,Not Found,Not Found,,,Baringo Sub county Hospital,Health facility,,,,,Updated
NOFBI,,,South Rift,Baringo,Baringo Central,Not Found,Not Found,,,CC Baringo,Government Institution,,,,,Updated
